# No. of        No. of        No. of basis       No. of shells
# alpha MOs     beta MOs      f'ns in each
   6              5               43                  23
# L,  exponent,     coefficient
1  3.82389000e+00  1.27985756e-01
1  3.82389000e+00  2.34797728e-01
1  1.44429000e+00 -2.39494223e-01
1  1.44429000e+00  1.62096060e-01
1  1.44429000e+00  2.97375176e-01
1  5.52621000e-01 -1.59311973e-01
1  5.52621000e-01  1.07826581e-01
1  5.52621000e-01  1.97814484e-01
1  1.88720000e-01 -2.57161144e-02
1  1.88720000e-01  1.74053503e-02
1  1.88720000e-01  3.19311838e-02
1  4.65010000e-02  1.08959170e-03
1  4.65010000e-02 -7.37464645e-04
1  4.65010000e-02 -1.35292417e-03
1  1.62850000e-02 -1.13165024e-03
1  1.62850000e-02  7.65930982e-04
1  1.62850000e-02  1.40514741e-03
1  8.00000000e-03  5.18488560e-04
1  8.00000000e-03 -3.50926849e-04
1  8.00000000e-03 -6.43796852e-04
0  3.61664000e+04 -3.38433525e-19
0  5.37258000e+03  4.85842261e-18
0  1.21321000e+03 -2.26822550e-17
0  3.39623000e+02  2.62700039e-18
0  1.09553000e+02 -7.53694604e-18
0  3.87773000e+01 -8.93291922e-17
0  1.45759000e+01 -7.63906150e-17
0  5.26993000e+00  1.86704126e-16
0  1.82777000e+00  4.18756599e-17
0  6.19948000e-01  3.27469252e-16
0  3.57228000e-01 -3.29156292e-16
0  6.18610000e-02  6.44019915e-16
0  2.42950000e-02 -1.00170974e-15
1  1.44645000e+02  4.29430642e-03
1  1.44645000e+02  5.44191518e-04
1  1.44645000e+02  3.16183176e-03
1  3.39074000e+01  3.07892464e-02
1  3.39074000e+01  3.90173525e-03
1  3.39074000e+01  2.26696486e-02
1  1.06285000e+01  1.19508938e-01
1  1.06285000e+01  1.51446459e-02
1  1.06285000e+01  8.79925925e-02
1  3.82389000e+00  2.62377735e-01
1  3.82389000e+00  3.32495458e-02
1  3.82389000e+00  1.93184691e-01
1  1.44429000e+00  3.32305708e-01
1  1.44429000e+00  4.21110954e-02
1  1.44429000e+00  2.44671581e-01
1  5.52621000e-01  2.21050334e-01
1  5.52621000e-01  2.80123739e-02
1  5.52621000e-01  1.62755961e-01
1  1.88720000e-01  3.56819113e-02
1  1.88720000e-01  4.52175312e-03
1  1.88720000e-01  2.62720424e-02
1  4.65010000e-02 -1.51184249e-03
1  4.65010000e-02 -1.91586668e-04
1  4.65010000e-02 -1.11314637e-03
1  1.62850000e-02  1.57020002e-03
1  1.62850000e-02  1.98981965e-04
1  1.62850000e-02  1.15611412e-03
1  8.00000000e-03 -7.19419058e-04
1  8.00000000e-03 -9.11676323e-05
1  8.00000000e-03 -5.29697186e-04
0  3.61664000e+04  1.43564586e-05
0  5.37258000e+03  1.12009448e-04
0  1.21321000e+03  5.94795480e-04
0  3.39623000e+02  2.42260310e-03
0  1.09553000e+02  8.01179514e-03
0  3.87773000e+01  1.94968569e-02
0  1.45759000e+01  3.11963770e-02
0  5.26993000e+00 -5.82917997e-03
0  1.82777000e+00 -1.12505066e-01
0  6.19948000e-01 -1.48642127e-01
0  3.57228000e-01 -6.91488840e-02
0  6.18610000e-02  6.07874154e-01
0  2.42950000e-02  4.97947948e-01
1  1.44645000e+02  1.01067775e-16
1  1.44645000e+02  2.36352961e-16
1  1.44645000e+02  5.63453699e-17
1  3.39074000e+01 -5.57944400e-17
1  3.39074000e+01  1.81576712e-18
1  3.39074000e+01  1.38631100e-16
1  1.06285000e+01  1.64368455e-16
1  1.06285000e+01 -2.63756406e-16
1  1.06285000e+01 -1.31638202e-17
1  3.82389000e+00  3.21402989e-17
1  3.82389000e+00  3.62985268e-16
1  3.82389000e+00  1.83168155e-16
1  1.44429000e+00  6.00346858e-17
1  1.44429000e+00 -5.09765512e-17
1  1.44429000e+00  2.54944201e-16
1  5.52621000e-01 -1.22816573e-16
1  5.52621000e-01 -4.70459590e-16
